text_name,hash_name,pattern_length,text_length,time_ns,hash_matches,collisions,char_comparisons,matches
lorem,sum,2,445,18416,17,13,21,4
lorem,poly_mod,2,445,6375,4,0,8,4
lorem,djb2,2,445,2000,24,20,28,4
lorem,poly_nomod,2,445,92375,4,0,8,4
lorem,sum,4,445,1500,4,2,10,2
lorem,poly_mod,4,445,6375,2,0,8,2
lorem,djb2,4,445,2166,37,35,44,2
lorem,poly_nomod,4,445,71750,2,0,8,2
lorem,sum,8,445,1541,2,1,9,1
lorem,poly_mod,8,445,6625,1,0,8,1
lorem,djb2,8,445,1959,32,31,45,1
lorem,poly_nomod,8,445,71375,1,0,8,1
lorem,sum,16,445,1458,3,2,18,1
lorem,poly_mod,16,445,6500,1,0,16,1
lorem,djb2,16,445,1833,29,28,46,1
lorem,poly_nomod,16,445,70042,1,0,16,1
lorem,sum,32,445,1333,1,0,32,1
lorem,poly_mod,32,445,6792,1,0,32,1
lorem,djb2,32,445,2416,63,62,101,1
lorem,poly_nomod,32,445,72833,1,0,32,1
lorem,sum,64,445,1458,1,0,64,1
lorem,poly_mod,64,445,7709,1,0,64,1
lorem,djb2,64,445,2417,31,30,99,1
lorem,poly_nomod,64,445,83083,1,0,64,1
lorem,sum,128,445,1708,3,2,130,1
lorem,poly_mod,128,445,9125,1,0,128,1
lorem,djb2,128,445,3416,48,47,180,1
lorem,poly_nomod,128,445,138208,1,0,128,1
alice,sum,2,148574,477208,6271,5143,7399,1128
alice,poly_mod,2,148574,2059375,1128,0,2256,1128
alice,djb2,2,148574,595709,13391,12263,14519,1128
alice,poly_nomod,2,148574,23729458,1128,0,2256,1128
alice,sum,4,148574,399875,1284,1283,1314,1
alice,poly_mod,4,148574,2075958,1,0,4,1
alice,djb2,4,148574,434125,3403,3402,3567,1
alice,poly_nomod,4,148574,22009167,1,0,4,1
alice,sum,8,148574,389709,712,711,759,1
alice,poly_mod,8,148574,2140084,1,0,8,1
alice,djb2,8,148574,422875,2448,2447,2601,1
alice,poly_nomod,8,148574,22246708,1,0,8,1
alice,sum,16,148574,403458,727,726,775,1
alice,poly_mod,16,148574,2141792,1,0,16,1
alice,djb2,16,148574,501250,8154,8153,8588,1
alice,poly_nomod,16,148574,21139917,1,0,16,1
alice,sum,32,148574,384583,328,327,382,1
alice,poly_mod,32,148574,2125000,1,0,32,1
alice,djb2,32,148574,488125,6896,6895,7240,1
alice,poly_nomod,32,148574,21905792,1,0,32,1
alice,sum,64,148574,382875,188,187,265,1
alice,poly_mod,64,148574,2129084,1,0,64,1
alice,djb2,64,148574,486334,6896,6895,7288,1
alice,poly_nomod,64,148574,23265416,1,0,64,1
alice,sum,128,148574,381333,62,61,193,1
alice,poly_mod,128,148574,2129916,1,0,128,1
alice,djb2,128,148574,534791,10216,10215,10812,1
alice,poly_nomod,128,148574,30155916,1,0,128,1
alice,sum,256,148574,381584,81,80,337,1
alice,poly_mod,256,148574,2137291,1,0,256,1
alice,djb2,256,148574,473166,5296,5295,5775,1
alice,poly_nomod,256,148574,36622875,1,0,256,1
alice,sum,512,148574,381875,54,53,565,1
alice,poly_mod,512,148574,2148167,1,0,512,1
alice,djb2,512,148574,428958,2441,2440,3053,1
alice,poly_nomod,512,148574,51777208,1,0,512,1
dna,sum,2,24748,94917,1867,829,2905,1038
dna,poly_mod,2,24748,362250,1038,0,2076,1038
dna,djb2,2,24748,118250,2933,1895,3971,1038
dna,poly_nomod,2,24748,3819625,1038,0,2076,1038
dna,sum,4,24748,88042,1046,913,1867,133
dna,poly_mod,4,24748,351291,133,0,532,133
dna,djb2,4,24748,189958,8058,7925,11659,133
dna,poly_nomod,4,24748,3705375,133,0,532,133
dna,sum,8,24748,79667,585,584,806,1
dna,poly_mod,8,24748,356208,1,0,8,1
dna,djb2,8,24748,193875,6815,6814,9502,1
dna,poly_nomod,8,24748,3698500,1,0,8,1
dna,sum,16,24748,66166,135,134,229,1
dna,poly_mod,16,24748,354500,1,0,16,1
dna,djb2,16,24748,183459,6164,6163,8735,1
dna,poly_nomod,16,24748,3505958,1,0,16,1
dna,sum,32,24748,64292,35,34,78,1
dna,poly_mod,32,24748,355833,1,0,32,1
dna,djb2,32,24748,190709,6814,6813,9579,1
dna,poly_nomod,32,24748,3815625,1,0,32,1
dna,sum,64,24748,68625,7,6,73,1
dna,poly_mod,64,24748,357125,1,0,64,1
dna,djb2,64,24748,209208,8045,8044,11097,1
dna,poly_nomod,64,24748,3806083,1,0,64,1
dna,sum,128,24748,65417,101,100,259,1
dna,poly_mod,128,24748,361708,1,0,128,1
dna,djb2,128,24748,120709,2920,2919,4121,1
dna,poly_nomod,128,24748,5151667,1,0,128,1
dna,sum,256,24748,68125,63,62,342,1
dna,poly_mod,256,24748,362667,1,0,256,1
dna,djb2,256,24748,217833,7986,7985,11503,1
dna,poly_nomod,256,24748,5882791,1,0,256,1
dna,sum,512,24748,65459,54,53,593,1
dna,poly_mod,512,24748,367417,1,0,512,1
dna,djb2,512,24748,220042,7886,7885,11667,1
dna,poly_nomod,512,24748,8674708,1,0,512,1
repetitive_100k,sum,2,100000,714250,99999,0,199998,99999
repetitive_100k,poly_mod,2,100000,1354083,99999,0,199998,99999
repetitive_100k,djb2,2,100000,671875,99999,0,199998,99999
repetitive_100k,poly_nomod,2,100000,14861209,99999,0,199998,99999
repetitive_100k,sum,4,100000,1329708,99997,0,399988,99997
repetitive_100k,poly_mod,4,100000,1385125,99997,0,399988,99997
repetitive_100k,djb2,4,100000,1340041,99997,0,399988,99997
repetitive_100k,poly_nomod,4,100000,14927917,99997,0,399988,99997
repetitive_100k,sum,8,100000,2657708,99993,0,799944,99993
repetitive_100k,poly_mod,8,100000,2667291,99993,0,799944,99993
repetitive_100k,djb2,8,100000,2680459,99993,0,799944,99993
repetitive_100k,poly_nomod,8,100000,15360208,99993,0,799944,99993
repetitive_100k,sum,16,100000,5312959,99985,0,1599760,99985
repetitive_100k,poly_mod,16,100000,5332250,99985,0,1599760,99985
repetitive_100k,djb2,16,100000,5326375,99985,0,1599760,99985
repetitive_100k,poly_nomod,16,100000,16497542,99985,0,1599760,99985
repetitive_100k,sum,32,100000,10652375,99969,0,3199008,99969
