text_name,hash_name,pattern_length,text_length,time_ns,hash_matches,collisions,char_comparisons,matches
lorem,sum,32,445,1709,1,0,32,1
lorem,poly_mod,32,445,7083,1,0,32,1
lorem,djb2,32,445,3208,63,62,101,1
lorem,poly_nomod,32,445,76834,1,0,32,1
dna,sum,32,24748,64250,35,34,78,1
dna,poly_mod,32,24748,361417,1,0,32,1
dna,djb2,32,24748,195542,6814,6813,9579,1
dna,poly_nomod,32,24748,3738250,1,0,32,1
alice,sum,32,148574,384625,328,327,382,1
alice,poly_mod,32,148574,2123958,1,0,32,1
alice,djb2,32,148574,495250,6896,6895,7240,1
alice,poly_nomod,32,148574,21915333,1,0,32,1
random_10k,sum,32,10000,26500,43,42,75,1
random_10k,poly_mod,32,10000,147417,1,0,32,1
random_10k,djb2,32,10000,28542,171,170,206,1
random_10k,poly_nomod,32,10000,1564250,1,0,32,1
random_50k,sum,32,50000,129875,120,119,153,1
random_50k,poly_mod,32,50000,715917,1,0,32,1
random_50k,djb2,32,50000,144625,850,849,899,1
random_50k,poly_nomod,32,50000,7434916,1,0,32,1
random_100k,sum,32,100000,259000,228,227,260,1
random_100k,poly_mod,32,100000,1432125,1,0,32,1
random_100k,djb2,32,100000,282458,1581,1580,1641,1
random_100k,poly_nomod,32,100000,14850875,1,0,32,1
random_200k,sum,32,200000,519000,585,584,621,1
random_200k,poly_mod,32,200000,2865875,1,0,32,1
random_200k,djb2,32,200000,561667,3197,3196,3270,1
random_200k,poly_nomod,32,200000,29272667,1,0,32,1
